person_id,account_type_id,username,password,email,miles_per_dollar,number_of_trips,total_miles,created_at
1,1,pjacobovitch0,DRFjsHBUyEj,fscade0@usda.gov,3601,2,9982,3/15/2015
2,3,blamprecht1,8N8hhepOOGU,awest1@salon.com,3827,13,8111,6/30/2020
3,2,whayes2,j0p8N8kl4CbG,srough2@spiegel.de,3064,18,8369,6/24/2015
4,1,hfeldman3,w7Vadl3KAQ0F,cosband3@google.com,4579,3,6460,8/3/2016
5,2,dmoyler4,Uj00NvF2mMw0,kwhiteside4@ebay.com,3568,6,6069,12/10/2017
6,3,abernardinelli5,PQrFvYRFGGIe,ipargent5@wp.com,4289,16,6723,11/22/2018
7,2,dernshaw6,fmsRL4cG,thagart6@blogtalkradio.com,4760,19,9632,10/23/2020
8,1,dbisgrove7,Tie8S1s,khardin7@google.nl,3793,11,5770,12/30/2018
9,3,clepere8,ipuNlI7N,waujouanet8@simplemachines.org,3870,7,9273,11/7/2017
10,3,ntrevain9,XnM2hAfTy,lspiers9@flickr.com,3533,19,6314,7/16/2018
11,2,priggeya,Tur1cZRYae,vdemelta@wsj.com,4957,18,5682,7/8/2014
12,1,jjudeb,J2p4KxYSuJN,plisimoreb@unesco.org,4349,14,8457,3/27/2020
13,3,maldisc,tlLqdn6KLsS,gmalbonc@oracle.com,3133,16,7955,4/15/2018
14,1,sgreevesd,hRrrL4jXIW,fdaviddid@aol.com,2787,10,7581,12/2/2018
15,2,etaffee,KnjslwsH,dottoe@mozilla.com,3455,11,5694,7/19/2021
16,1,myouteadf,4kIzb8V,nconnerlyf@vimeo.com,3007,24,8120,9/22/2018
17,2,rjosuweitg,k7ioYdm,sarraultg@admin.ch,3516,19,7808,7/15/2014
18,3,vjarleyh,vjCgVFk9lWg,kgiottinih@cnn.com,3928,10,9380,7/20/2017
19,1,obanasiaki,ZZTzLuJ,sjorei@bloglines.com,4334,14,6755,10/20/2019
20,2,gpetronisj,l98rEQ,gscapensj@pen.io,4000,15,5853,12/22/2020
21,3,kmawhinneyk,u5lx0783,nkienzlek@wordpress.org,4321,19,7651,4/17/2014
22,3,tranklingl,IAaQcYaN,lpapierzl@springer.com,3022,19,8033,10/10/2019
23,1,mskrinesm,LSQtU2z1F,mpetrovykhm@stumbleupon.com,4372,24,8309,10/13/2016
24,2,nbadlandn,nVIA1Vi,teaten@microsoft.com,3995,17,6110,3/24/2015
25,3,tskelchero,Ow73K4UuBSvT,cantoniettio@fastcompany.com,3991,5,7214,12/18/2015
26,1,abraunp,yNSPBeW,mevelingp@imdb.com,3988,17,6234,2/8/2015
27,2,fblowenq,9sqvt9LNF0y,sarkleyq@google.com.hk,4057,9,7637,1/8/2016
33,3,fclarisr,amHzLNSijX1W,ldowtyr@wsj.com,2780,1,7143,12/10/2019
34,2,jbaudons,irf4T9Iw,mspooners@reference.com,4744,11,6676,12/18/2016
35,1,cstowerst,Is68j0egLk,dconringt@paypal.com,4554,6,10000,12/26/2016
38,1,wgodleyu,XZ1y2W,ngheorghescuu@i2i.jp,4787,7,8691,8/13/2016
40,2,hjanuszv,RUCr31il,dbrunetv@dell.com,3424,12,8582,7/18/2017
43,3,cchippindallw,HqdlY2g,sivachyovw@soup.io,3647,7,8790,3/18/2020
48,3,vgordonx,CFs0VJYI,opoulstonx@bbc.co.uk,3021,18,9338,4/4/2020
49,1,mmichaely,ujRdK9pNfZ,lmccarlyy@cmu.edu,2858,13,5069,5/27/2018
50,2,bsoutheranz,JIx8PDzzha,eturnorz@plala.or.jp,4842,24,8279,8/26/2016
51,3,ijeskin10,Pt7KUXUYTs,hhampson10@feedburner.com,3025,6,8530,6/16/2015
52,2,sslocombe11,drM5MsIUTrw,vmcturlough11@trellian.com,4434,14,9507,7/19/2016
53,1,gcarnie12,Bkd9VDO2l1,tbeaglehole12@biblegateway.com,4601,22,7482,3/5/2020
54,1,bbampford13,TGXuRVHnd6,kilyukhov13@boston.com,3311,15,5200,6/2/2014
55,3,zallport14,xgui6on2G,narendsen14@nih.gov,3766,25,8770,9/7/2014
56,2,sspilling15,NF4ReqOkGB,fingleby15@1und1.de,4072,20,6246,5/1/2015
57,3,mgreder16,hbeakgnrWx,mbealton16@tripadvisor.com,3189,4,5417,6/22/2020
58,1,bsolomonides17,oaekfX,wlehrmann17@people.com.cn,2763,21,8906,2/8/2017
59,2,aglasson18,JW9UptxfGi,hrosenblath18@reuters.com,3135,4,7756,6/8/2016
60,2,lschuh19,ehuJfuW3qSL,vstoneman19@ning.com,3667,24,9696,8/15/2014
61,1,eleynham1a,02onGlISQw,vcullivan1a@timesonline.co.uk,3439,23,5297,7/7/2014
62,3,tclampton1b,cm3TpYvbiTQ,jvossing1b@sitemeter.com,3746,20,9940,3/23/2014
63,1,dburn1c,UKK8vOhG,tgovey1c@example.com,3279,8,6788,10/27/2016
64,2,mondrich1d,igynakQypAH,lchurchill1d@who.int,2591,15,6647,9/10/2014
65,3,bchalcroft1e,YTg9VzCse1YS,lhaslam1e@myspace.com,2785,10,7868,6/20/2020
67,1,jmuddle1f,Rwlr5DZ9ovFs,rdavoren1f@biblegateway.com,3406,8,8388,2/20/2015
68,2,lbourgeois1g,CfqRrxUhvJN,lovett1g@dagondesign.com,2677,2,6317,3/31/2019
69,3,pfarherty1h,z52ykvanP9sJ,ariding1h@canalblog.com,4213,1,8983,7/31/2017
72,1,comohun1i,KBwxa3Xv,ryeowell1i@storify.com,4185,12,7439,8/29/2014
73,2,tvarnes1j,D7bcQhTOLAM,bagar1j@infoseek.co.jp,2623,12,9973,6/7/2020
75,3,rjossel1k,uVIJocLldUhi,abrou1k@g.co,2665,13,7724,8/20/2020
77,1,bmaudson1l,5AqJRy,jbenfield1l@mashable.com,4915,4,6806,6/15/2017
